DATE,IPN31152N
1972-01-01,60.1520
1972-02-01,67.2729
1972-03-01,74.4702
1972-04-01,78.3596
1972-05-01,85.0323
1972-06-01,100.9149
1972-07-01,100.4437
1972-08-01,96.6662
1972-09-01,86.0727
1972-10-01,70.6166
1972-11-01,61.0000
1972-12-01,58.8457
1973-01-01,61.2932
1973-02-01,72.4350
1973-03-01,80.3522
1973-04-01,84.1718
1973-05-01,87.6481
1973-06-01,110.0946
1973-07-01,107.7152
1973-08-01,99.9792
1973-09-01,91.9179
1973-10-01,75.5440
1973-11-01,66.1436
1973-12-01,61.7259
1974-01-01,63.1800
1974-02-01,75.5845
1974-03-01,84.5367
1974-04-01,84.8579
1974-05-01,90.8282
1974-06-01,110.2531
1974-07-01,104.2218
1974-08-01,101.3489
1974-09-01,89.7619
1974-10-01,73.9304
1974-11-01,66.3685
1974-12-01,61.2601
1975-01-01,64.4709
1975-02-01,75.6578
1975-03-01,85.4402
1975-04-01,85.3624
1975-05-01,97.6645
1975-06-01,113.8854
1975-07-01,108.4878
1975-08-01,105.1562
1975-09-01,90.3997
1975-10-01,75.9567
1975-11-01,70.4370
1975-12-01,62.9400
1976-01-01,62.1354
1976-02-01,74.2909
1976-03-01,87.2358
1976-04-01,90.4121
1976-05-01,94.4481
1976-06-01,110.3697
1976-07-01,107.7985
1976-08-01,104.1448
1976-09-01,92.5294
1976-10-01,75.3417
1976-11-01,67.7473
1976-12-01,62.6831
1977-01-01,63.9737
1977-02-01,75.3039
1977-03-01,90.3130
1977-04-01,92.9658
1977-05-01,99.4427
1977-06-01,115.0965
1977-07-01,112.6951
1977-08-01,106.7588
1977-09-01,92.0179
1977-10-01,76.2688
1977-11-01,67.6091
1977-12-01,61.6366
1978-01-01,62.0833
1978-02-01,73.0998
1978-03-01,84.1933
1978-04-01,89.3357
1978-05-01,92.7381
1978-06-01,111.6691
1978-07-01,107.2546
1978-08-01,104.0107
1978-09-01,90.8998
1978-10-01,79.4296
1978-11-01,68.0966
1978-12-01,62.5988
1979-01-01,63.2106
1979-02-01,74.1749
1979-03-01,86.7028
1979-04-01,91.4948
1979-05-01,95.0055
1979-06-01,110.4591
1979-07-01,107.5016
1979-08-01,107.1192
1979-09-01,95.6259
1979-10-01,79.8561
1979-11-01,68.1128
1979-12-01,63.4898
1980-01-01,67.1989
1980-02-01,76.6901
1980-03-01,86.1650
1980-04-01,88.2791
1980-05-01,92.4665
1980-06-01,108.8104
1980-07-01,108.2149
1980-08-01,108.1964
